[0.000000] (-) TimerEvent: {}
[0.000262] (fireye_world) JobQueued: {'identifier': 'fireye_world', 'dependencies': OrderedDict()}
[0.083491] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//launch/spawn_turtlebot3.launch.py\xef\x80\xbaZone.Identifier\n'}
[0.083526] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//models\n'}
[0.083556] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//models/cafe\n'}
[0.083591] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//models/cafe/meshes\n'}
[0.083639] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//models/cafe/meshes/cafe.dae\n'}
[0.083673] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//models/cafe/model.sdf\n'}
[0.083706] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//models/cafe/materials\n'}
[0.083737] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//models/cafe/materials/textures\n'}
[0.083771] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//models/cafe/materials/textures/__auto_25.jpg\n'}
[0.083804] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//models/cafe/materials/textures/__auto_28.jpg\n'}
[0.083867] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//models/cafe/materials/textures/__auto_23.jpg\n'}
[0.083900] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//models/cafe/materials/textures/__auto_10.jpg\n'}
[0.083930] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//models/cafe/materials/textures/__auto_31.jpg\n'}
[0.083964] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//models/cafe/materials/textures/__auto_26.jpg\n'}
[0.083994] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//models/cafe/materials/textures/__auto_2.jpg\n'}
[0.084023] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//models/cafe/materials/textures/__auto_34.jpg\n'}
[0.084092] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//models/cafe/materials/textures/__auto_37.jpg\n'}
[0.084307] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//models/cafe/materials/textures/__auto_35.jpg\n'}
[0.084344] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//models/cafe/materials/textures/__auto_30.jpg\n'}
[0.084375] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//models/cafe/materials/textures/__auto_21.jpg\n'}
[0.084407] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//models/cafe/materials/textures/__auto_22.jpg\n'}
[0.084438] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//models/cafe/materials/textures/__auto_24.jpg\n'}
[0.084468] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//models/cafe/materials/textures/__auto_29.jpg\n'}
[0.084498] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//models/cafe/model.config\n'}
[0.084528] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//models/small_house\n'}
[0.084557] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//models/small_house/model.sdf\n'}
[0.084626] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//models/small_house/model.config\n'}
[0.084659] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//models/turtlebot3_common\n'}
[0.084751] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//models/turtlebot3_common/model.config\xef\x80\xbaZone.Identifier\n'}
[0.084788] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//models/turtlebot3_common/meshes\n'}
[0.084821] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//models/turtlebot3_common/meshes/r200.dae\n'}
[0.084854] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//models/turtlebot3_common/meshes/wheels\n'}
[0.084886] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//models/turtlebot3_common/meshes/wheels/right_tire.stl\n'}
[0.084916] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//models/turtlebot3_common/meshes/wheels/right_tire.stl\xef\x80\xbaZone.Identifier\n'}
[0.084949] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//models/turtlebot3_common/meshes/wheels/left_tire.stl\n'}
[0.084999] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//models/turtlebot3_common/meshes/wheels/left_tire.stl\xef\x80\xbaZone.Identifier\n'}
[0.085034] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//models/turtlebot3_common/meshes/sensors\n'}
[0.085065] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//models/turtlebot3_common/meshes/sensors/r200.dae\n'}
[0.085095] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//models/turtlebot3_common/meshes/sensors/astra.dae\n'}
[0.085124] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//models/turtlebot3_common/meshes/sensors/lds.stl\n'}
[0.085153] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//models/turtlebot3_common/meshes/sensors/astra.jpg\n'}
[0.085254] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//models/turtlebot3_common/meshes/sensors/astra.jpg\xef\x80\xbaZone.Identifier\n'}
[0.085288] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//models/turtlebot3_common/meshes/sensors/r200.dae\xef\x80\xbaZone.Identifier\n'}
[0.085319] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//models/turtlebot3_common/meshes/sensors/r200.jpg\xef\x80\xbaZone.Identifier\n'}
[0.085349] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//models/turtlebot3_common/meshes/sensors/r200.jpg\n'}
[0.085379] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//models/turtlebot3_common/meshes/sensors/astra.dae\xef\x80\xbaZone.Identifier\n'}
[0.085408] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//models/turtlebot3_common/meshes/sensors/lds.stl\xef\x80\xbaZone.Identifier\n'}
[0.085438] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//models/turtlebot3_common/meshes/waffle_base.dae\xef\x80\xbaZone.Identifier\n'}
[0.085468] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//models/turtlebot3_common/meshes/burger_base.dae\xef\x80\xbaZone.Identifier\n'}
[0.085497] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//models/turtlebot3_common/meshes/burger_base.dae\n'}
[0.085547] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//models/turtlebot3_common/meshes/r200.dae\xef\x80\xbaZone.Identifier\n'}
[0.085580] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//models/turtlebot3_common/meshes/tire.dae\xef\x80\xbaZone.Identifier\n'}
[0.085616] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//models/turtlebot3_common/meshes/bases\n'}
[0.085642] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//models/turtlebot3_common/meshes/bases/waffle_pi_base.stl\xef\x80\xbaZone.Identifier\n'}
[0.085671] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//models/turtlebot3_common/meshes/bases/waffle_base.stl\xef\x80\xbaZone.Identifier\n'}
[0.085700] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//models/turtlebot3_common/meshes/bases/waffle_base.stl\n'}
[0.085728] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//models/turtlebot3_common/meshes/bases/waffle_pi_base.stl\n'}
[0.085756] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//models/turtlebot3_common/meshes/bases/burger_base.stl\n'}
[0.085784] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//models/turtlebot3_common/meshes/bases/burger_base.stl\xef\x80\xbaZone.Identifier\n'}
[0.085812] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//models/turtlebot3_common/meshes/waffle_base.dae\n'}
[0.085841] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//models/turtlebot3_common/meshes/lds.dae\n'}
[0.085869] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//models/turtlebot3_common/meshes/lds.dae\xef\x80\xbaZone.Identifier\n'}
[0.085898] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//models/turtlebot3_common/meshes/waffle_pi_base.dae\n'}
[0.085951] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//models/turtlebot3_common/meshes/waffle_pi_base.dae\xef\x80\xbaZone.Identifier\n'}
[0.085983] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//models/turtlebot3_common/meshes/tire.dae\n'}
[0.086013] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//models/turtlebot3_common/model.config\n'}
[0.086043] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//models/turtlebot3_burger\n'}
[0.086072] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//models/turtlebot3_burger/model.config\xef\x80\xbaZone.Identifier\n'}
[0.086103] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//models/turtlebot3_burger/model.sdf\xef\x80\xbaZone.Identifier\n'}
[0.086146] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//models/turtlebot3_burger/model.sdf\n'}
[0.086177] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//models/turtlebot3_burger/model-1_4.sdf\n'}
[0.086213] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//models/turtlebot3_burger/model.config\n'}
[0.086272] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//models/turtlebot3_burger/model-1_4.sdf\xef\x80\xbaZone.Identifier\n'}
[0.086309] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//models/turtlebot3_burger_cam\n'}
[0.086344] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//models/turtlebot3_burger_cam/model.config\xef\x80\xbaZone.Identifier\n'}
[0.086379] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//models/turtlebot3_burger_cam/model.sdf\xef\x80\xbaZone.Identifier\n'}
[0.086416] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//models/turtlebot3_burger_cam/model.sdf\n'}
[0.086456] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//models/turtlebot3_burger_cam/model-1_4.sdf\n'}
[0.086496] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//models/turtlebot3_burger_cam/model.config\n'}
[0.086538] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//models/turtlebot3_burger_cam/model-1_4.sdf\xef\x80\xbaZone.Identifier\n'}
[0.086587] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//params\n'}
[0.086621] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//params/turtlebot3_burger_bridge.yaml\xef\x80\xbaZone.Identifier\n'}
[0.086654] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//params/turtlebot3_burger_bridge.yaml\n'}
[0.086688] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//params/turtlebot3_burger_cam_bridge.yaml\xef\x80\xbaZone.Identifier\n'}
[0.086723] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//params/turtlebot3_burger_cam_bridge.yaml\n'}
[0.086753] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//rviz\n'}
[0.086791] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//rviz/turtlebot3_burger.urdf\n'}
[0.086839] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//rviz/turtlebot3_burger.urdf\xef\x80\xbaZone.Identifier\n'}
[0.086898] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//urdf\n'}
[0.086930] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//urdf/turtlebot3_burger_cam.urdf\n'}
[0.086963] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//urdf/common_properties.urdf\xef\x80\xbaZone.Identifier\n'}
[0.086998] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//urdf/common_properties.urdf\n'}
[0.087031] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//urdf/turtlebot3_burger_cam.urdf\xef\x80\xbaZone.Identifier\n'}
[0.087063] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//urdf/turtlebot3_burger.urdf\n'}
[0.087095] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//urdf/turtlebot3_burger.urdf\xef\x80\xbaZone.Identifier\n'}
[0.087128] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//worlds\n'}
[0.087165] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//worlds/my_world.world\n'}
[0.087202] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//worlds/turtlebot3_world.world\xef\x80\xbaZone.Identifier\n'}
[0.087241] (fireye_world) StdoutLine: {'line': b'-- Installing: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/fireye_world//worlds/harmonic.sdf\n'}
[0.087279] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/include/\n'}
[0.087315] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/include//obstacle2.hpp\xef\x80\xbaZone.Identifier\n'}
[0.087351] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/include//turtlebot3_drive.hpp\n'}
[0.087388] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/include//obstacles.hpp\n'}
[0.087428] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/include//traffic_bar_plugin.hpp\n'}
[0.087465] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/include//traffic_bar_plugin.hpp\xef\x80\xbaZone.Identifier\n'}
[0.087501] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/include//turtlebot3_drive.hpp\xef\x80\xbaZone.Identifier\n'}
[0.087538] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/include//fireye_world\n'}
[0.087585] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/include//obstacles.hpp\xef\x80\xbaZone.Identifier\n'}
[0.087622] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/include//traffic_light_plugin.hpp\n'}
[0.087654] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/include//obstacle2.hpp\n'}
[0.087689] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/include//obstacle1.hpp\xef\x80\xbaZone.Identifier\n'}
[0.087720] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/include//obstacle1.hpp\n'}
[0.087752] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/include//traffic_light_plugin.hpp\xef\x80\xbaZone.Identifier\n'}
[0.087784] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/ament_index/resource_index/package_run_dependencies/fireye_world\n'}
[0.087816] (fireye_world) StdoutLine: {'line': b'-- Up-to-date: /home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world/share/ament_index/resource_index/parent_prefix_path/fireye_world\n'}
